date,distance,fare,extra,tax,tip
12/2/2014,1256849.12,5687408.43,154908,219529.5,736493.87
12/3/2014,1265652.85,5858126.92,151556,218372,763378.49
12/4/2014,1353144.45,6208454.63,163005.05,228296,807710.51
12/5/2014,1421766.17,6490609.75,185246.84,247029,815612.06
12/6/2014,1371445.93,6248939.88,104038.5,253692.5,719260.86
12/7/2014,1422564.22,5865441.94,90996,229405.5,704312.85
12/8/2014,1265375.95,5582307.07,153265.42,214637,719169.24
12/9/2014,1210072.85,5642940.11,154173,217789,751646.65
12/10/2014,1278646.91,5982841.57,155441.3,222692.5,805511.5
12/11/2014,1422321.88,6506601.43,166394,233813,864395.6
12/12/2014,1474892.77,6802603.09,184114.5,247394,864226.64
12/13/2014,1396701.02,6405219.46,107596,249722.5,745798.71
12/14/2014,1385742.95,5746722.11,89467.23,219640,683270.82
12/15/2014,1224096.63,5345341.24,146257,204378.5,684170.96
12/16/2014,1236265.38,5632255.41,158342.5,219033,734413.4
12/17/2014,1312079.22,5939417.73,163105,227293,783209.7
12/18/2014,1407391.34,6417050.91,174850.5,240190,842881.27
12/19/2014,1482474.51,6662001.09,188414.79,253276.5,843504.26
12/20/2014,1415171.35,6122184.64,104680,246017,703272.3
12/21/2014,1255691.35,5207331.49,85669.5,208908.5,583741.65
12/22/2014,1074039.65,4744167.62,135598.51,190265.5,537163.36
12/23/2014,1075579.31,4790603.01,131628.3,191359,540052.13
12/24/2014,944318.28,4010220.3,117602,173575.5,422051.77
12/25/2014,683801.16,2654928.85,39393.5,104742,243279.98
12/26/2014,837212.13,3492725.7,111714,138896,319846.64
12/27/2014,1011772.02,4228165.38,62501.5,161266,387460.07
12/28/2014,1092866.61,4301829.04,63054.52,161263,431885.84
12/29/2014,1035204.37,4305608.14,130462.5,169222.5,437053.46
12/30/2014,1094584.02,4740222.51,144730.5,188272.5,489737.75
12/31/2014,1098357.14,4621531.97,164101.96,202117.5,496184.75
